episode_id,family,coverage,cost_scenario,comparison,theorem_scope,terminal_wealth_gap,relative_terminal_wealth_gap,terminal_cash_gap,terminal_unit_gap,cash_contribution,unit_contribution,left_cash_drag,right_cash_drag,left_asset_exposure,right_asset_exposure,left_guardrail_activation_frequency,right_guardrail_activation_frequency,left_purchase_count,right_purchase_count,mechanisms,boundary_fixtures
sudden-rebound-primary,sudden-rebound,0.9,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,-22.9435663727344316009442818497454987465649980834633534458,-0.00352048616660371708869593148993545433842406574594121186721133,349.688492978326738089719208691446266720264011189540885687368,-3.2402787769657493016579433960103631779724261675913412098537,349.688492978326738089719208691446266720264011189540885687368,-372.632059351061169690663490541191765466829009273004239133176,0.0699376985956653476179438417382892533440528022379081771374738,0.0000000000000000000000000000000000000000000000000000000000002,0.946153846750501012932310190834175362947630609190009026295557,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.9,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,32.89533780133659222905109487536569897012853012612173776417,0.00509111757638643468342118968867788337299269748044885047253234,55.663343611050648984305025158284366870401217576896282475187,-0.1979826592149048413500341763732058078284581517458656061828,55.663343611050648984305025158284366870401217576896282475187,-22.768005809714056755253930282918667900272687450774544711022,0.0699376985956653476179438417382892533440528022379081771374738,0.0588050298734552178210828367066323799699725587225289206424364,0.946153846750501012932310190834175362947630609190009026295557,0.954494566528434801990541286274318439469256917475715475156078,1,1,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.9,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,-55.83890417407102382999537672511119771669352820958509120997,-0.00856798313346518465090706408881750917165455279771415818649159,294.025149367276089105414183533161899849862793612644603212181,-3.0422961177508444603079092196371573701439680158454756036709,294.025149367276089105414183533161899849862793612644603212181,-349.864053541347112935409560258273097566556321822229694422154,0.0588050298734552178210828367066323799699725587225289206424364,0.0000000000000000000000000000000000000000000000000000000000002,0.954494566528434801990541286274318439469256917475715475156078,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.9,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,-23.30675335610027423556905886057527456624680950703593503142,-0.00357621755470798151793099431334260288863148486567599782638004,349.515289845435649372016740272669152172527555236067293258342,-3.2419308104481384661529199924629950151197770847226367677371,349.515289845435649372016740272669152172527555236067293258342,-372.822043201535923607585799133244426738774364743103228289766,0.0699030579690871298744033480545338304345055110472134586516684,0,0.946177453101038521440773261990092979465116126330889664970314,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.9,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,32.86341643093834503989232186396334470921457121750268424404,0.00508644310438973408937146994085456324483278404158347925229716,55.627433984191630233260759411425133033771574374823274119591,-0.1979479787239416103771168482387981593439739404984399119613,55.627433984191630233260759411425133033771574374823274119591,-22.7640175532532851933684375474617883245570031573205898755495,0.0699030579690871298744033480545338304345055110472134586516684,0.0587775711722488038277511961722488038277511961722488038277502,0.946177453101038521440773261990092979465116126330889664970314,0.954513437120857898363320227433505191293441522935393933088401,1,1,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.9,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,-56.17016978703861927546138072453861927546138072453861927546,-0.00861882151384067481776677605006775662584005663723448594003929,293.887855861244019138755980861244019138755980861244019138751,-3.0439828317241968557758031442241968557758031442241968557758,293.887855861244019138755980861244019138755980861244019138751,-350.058025648282638414217361585782638414217361585782638414217,0.0587775711722488038277511961722488038277511961722488038277502,0,0.954513437120857898363320227433505191293441522935393933088401,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,frictionless,corrected_guarded_vs_dca,epsilon-dca,-57.6346913370047181984722186463305795283733673454968576157,-0.00883469600328347142152602640936193949951058819369082881420864,874.903992549656111737713733014374740426025085551730321995257,-8.1090320337970506950972691448756984343860735034541493879214,874.903992549656111737713733014374740426025085551730321995257,-932.538683886660829936185951660705319954398452897227179610961,0.174980798509931222347542746602874948085205017110346064399051,0,0.864692476289808981342271465182566968603716771228368397007279,1,0.8,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,82.88607747066787236885519078634201103895404208717573295161,0.0129851270727313335294586386445642529610474474628689783531471,139.553364559225489728144355023944118416455707561299699985682,-0.4927590181613705857329492542400183250217536128184692785571,139.553364559225489728144355023944118416455707561299699985682,-56.6672870885576173592891642376021073775016654741239670340665,0.174980798509931222347542746602874948085205017110346064399051,0.147070125598086124401913875598086124401913875598086124401915,0.864692476289808981342271465182566968603716771228368397007279,0.884798247922304675447736233425209067547108742554042859706617,0.8,1,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,frictionless,neutral_guarded_vs_dca,epsilon-dca,-140.52076880767259056732740943267259056732740943267259056731,-0.0215401218565454447822026872517291373893135969593899920238968,735.350627990430622009569377990430622009569377990430622009575,-7.6162730156356801093643198906356801093643198906356801093643,735.350627990430622009569377990430622009569377990430622009575,-875.871396798103212576896787423103212576896787423103212576894,0.147070125598086124401913875598086124401913875598086124401915,0,0.884798247922304675447736233425209067547108742554042859706617,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,-56.68048084835198253455256028932341478507691959906785727766,-0.00869711558793239194201659878632128214690935675505614954441026,874.577276560933609006583664023439507591335488091796613308248,-8.0978935426894399264446628201109819337079339799205606137906,874.577276560933609006583664023439507591335488091796613308248,-931.257757409285591541136224312762922376412407690864470585919,0.17491545531218672180131673280468790151826709761835932266165,0.0000000000000000000000000000000000000000000000000000000000002,0.864626538021694956205697586510160609167334983336732847540747,1,0.8,0,5,5,rebound-missed-exposure|cash-drag,
