episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,fixed-1-usd,neutral_guarded,12880.8375791140181851161705418017082248528260602302734237761,996.300995312921434050795426086197052313062921368478264368205,113.004110528242833080793500416323514343529535710745263302737,12,219.435398358697242701126426094854763758355905156087010686222,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.75,identity-a0-b0,fixed-1-usd,corrected_guarded,12880.2349201750895560617948065789876169930378916050955354158,1095.9078765392091693737256815898069289989242662379159564863,112.051268162622157479132604079246959411841011606764837892608,12,216.371541218926932598648103085137710760782175140777845409651,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,frictionless,dca,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,frictionless,neutral_guarded,12891.6023711232373784424325876094562089625217690165411952136,999.49685294678470371716982625837724315826788484931012908992,113.076079737197901608835197874988318704067209654217334484146,0,64.4900307406179911348414926184752504944738261922023176601155,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,frictionless,corrected_guarded,12892.9611782779573123065084830107089093197773379767838289624,1099.71303685948460578319025640046202164884871053095007029171,112.136094416700201788025961277283326705408038924513070955471,0,63.94296439915875,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,proportional-10bps,dca,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,proportional-10bps,neutral_guarded,12879.7131963613322330859448285710729097151741684272478699435,999.4963719274745700910469205715719050194821689141622006555,112.963036098327218285412942124865384774994658051805901203505,10.9895141139585668630459071722561719230574603707151226766678,64.5407632207175130698236170533699325100157584856647049032638,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,proportional-10bps,corrected_guarded,12881.17802243134944650371146821401556737685895707496489626,1099.71291084829197568188669006766043581879625510746080426272,112.024055483041336696064654724001487214668967008406482701768,10.8893976914602477765415717381941454187624413035889502454918,63.9623353970949883449883449883449883449883449883449883449883,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,fixed-1-usd,dca,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.5,identity-a0-b0,fixed-1-usd,neutral_guarded,12878.5752725869038570296700393588486147434264336859503195123,999.49590715586682780280604774003274016739019433617771558447,112.952220569932843407321151071191641087132986157331158680361,12,64.5901286012109104105505928505395057160367499795016034587904,outside-current-safety-theorem
